target_deg,variant,n_seeds,hit_band_median,hit_band_mean,delta_median,overshoot_median,temporal_corr_median,temporal_corr_mean
5,V7 (ours),30,0.429,0.452,15.9,1.8,0.586,0.5403
5,V2 (s=40),30,0.446,0.512,17.6,1.93,0.5235,0.3961
5,V6 (PID),30,0.608,0.573,16.7,1.02,0.4633,0.379
10,V7 (ours),30,0.517,0.539,21.0,1.4,0.5516,0.5115
10,V2 (s=40),30,0.567,0.623,22.0,1.63,0.4173,0.3638
10,V6 (PID),30,0.721,0.691,21.9,1.07,0.3522,0.3167
15,V7 (ours),30,0.642,0.576,25.3,1.27,0.5288,0.4801
15,V2 (s=40),30,0.9,0.851,26.1,0.59,0.2766,0.2568
15,V6 (PID),30,0.892,0.867,25.4,0.49,0.3276,0.2631
20,V7 (ours),30,0.45,0.486,28.8,1.96,0.4982,0.4733
20,V2 (s=40),30,0.988,0.945,30.6,0.41,0.2202,0.1687
20,V6 (PID),30,0.833,0.739,29.6,0.99,0.3267,0.2636
25,V7 (ours),30,0.454,0.479,33.9,2.04,0.5311,0.4967
25,V2 (s=40),30,1.0,0.964,35.8,0.35,0.1209,0.1156
25,V6 (PID),30,0.713,0.622,34.4,1.69,0.3193,0.3041
