target_deg,method,n_seeds,signed_error_median,signed_error_mean,abs_error_median,abs_error_mean,frame_hit_band_median,frame_hit_band_mean,final_summary_hit_median,temporal_corr_median,temporal_corr_mean,positive_overshoot_median,negative_undershoot_median,overshoot_p90_median,achieved_change_median,baseline_mean_median,guided_std_median
5,V7,30,0.96,0.91,1.8,1.62,0.429,0.452,0.383,0.586,0.5403,1.18,0.85,3.49,15.9,-10.9,2.15
5,V2,30,1.93,2.06,1.93,2.06,0.446,0.512,0.25,0.5235,0.3961,1.33,0.0,4.21,17.6,-10.9,1.52
5,V6,30,1.02,1.12,1.02,1.22,0.608,0.573,0.35,0.4633,0.379,0.84,0.49,3.08,16.7,-10.9,1.38
10,V7,30,0.78,0.58,1.4,1.48,0.517,0.539,0.567,0.5516,0.5115,0.58,0.59,2.73,21.0,-10.9,1.64
10,V2,30,1.63,1.49,1.63,1.5,0.567,0.622,0.333,0.4173,0.3638,0.9,0.0,3.26,22.0,-10.9,1.26
10,V6,30,1.02,1.12,1.07,1.2,0.721,0.691,0.45,0.3522,0.3167,0.71,0.02,2.76,21.9,-10.9,1.12
15,V7,30,-0.99,-0.77,1.27,1.44,0.642,0.576,0.6,0.5288,0.4801,0.03,0.77,0.68,25.3,-10.9,1.36
15,V2,30,0.37,0.45,0.59,0.68,0.9,0.851,1.0,0.2766,0.2568,0.43,0.0,2.01,26.1,-10.9,1.08
15,V6,30,0.11,-0.05,0.49,0.61,0.892,0.867,1.0,0.3276,0.2631,0.26,0.11,1.16,25.4,-10.9,1.02
20,V7,30,-1.96,-1.66,1.96,1.79,0.45,0.486,0.617,0.4982,0.4733,0.0,1.2,0.32,28.8,-10.9,1.44
20,V2,30,-0.28,-0.11,0.41,0.45,0.988,0.945,1.0,0.2202,0.1687,0.1,0.0,0.97,30.6,-10.9,0.86
20,V6,30,-0.98,-1.07,0.99,1.13,0.833,0.739,1.0,0.3267,0.2636,0.0,0.68,0.15,29.6,-10.9,0.98
25,V7,30,-2.04,-1.9,2.04,1.91,0.454,0.479,0.55,0.5311,0.4967,0.0,1.66,0.3,33.9,-10.9,1.47
25,V2,30,-0.19,-0.15,0.35,0.39,1.0,0.964,1.0,0.1209,0.1156,0.0,0.0,0.68,35.8,-10.9,0.7
25,V6,30,-1.69,-1.74,1.69,1.79,0.712,0.622,0.867,0.3193,0.3041,0.0,0.81,0.0,34.4,-10.9,0.93
